Column,Value
LocationName,"MA YAU TONG, SAI KUNG"
LocationName,"PAN LONG WAN, SAI KUNG"
LocationName,"PAK WAI, SAI KUNG"
LocationName,"TAI AU MUN, SAI KUNG"
LocationName,"TAP MUN, SAI KUNG"
LocationName,"PAK TAM CHUNG, SAI KUNG"
LocationName,"TAI WAN, SAI KUNG"
LocationName,"SHA HA, SAI KUNG"
LocationName,"TAI MONG TSAI, SAI KUNG"
LocationName,"TSAM CHUK WAN, SAI KUNG"
LocationName,"WONG YI CHAU, SAI KUNG"
LocationName,"CHE KENG TUK, SAI KUNG"
LocationName,"WONG CHUK WAN, SAI KUNG"
LocationName,"TSO WO HANG, SAI KUNG"
LocationName,"TAI WAN TAU, SAI KUNG"
LocationName,"TSENG LAN SHUE, SAI KUNG"
LocationName,MA ON SHAN
LocationName,SHA TIN
LocationName,"TAI WAI, SHA TIN"
LocationName,"MA LIU SHUI, SHA TIN"
LocationName,"FO TAN, SHA TIN"
LocationName,FO TAN
LocationName,"SHA TIN, SHA TIN"
LocationName,"SHA TIN HEIGHTS, SHA TIN"
LocationName,MAU TSO NGAN
LocationName,"TAI PO INDUSTRIAL ESTATE, TAI PO"
LocationName,"YUEN CHAU TSAI, TAI PO"
LocationName,"TAI PO KAU, TAI PO"
LocationName,"SHA LO TUNG, TAI PO"
LocationName,TAP MUN
LocationName,"LAM TSUEN, TAI PO"
LocationName,"TAI PO TAU, TAI PO"
LocationName,MA WAN
LocationName,"TSUEN WAN, TSUEN WAN"
LocationName,"TING KAU, TSUEN WAN"
LocationName,"SHAM TSENG, SHAM TSENG"
LocationName,"TSING LUNG TAU, TSING LUNG TAU"
LocationName,SHAM TSENG
LocationName,"FU YUNG SHAN, TSUEN WAN"
LocationName,TSING LUNG TAU
LocationName,"LO WAI, TSUEN WAN"
LocationName,"CHUEN LUNG, TSUEN WAN"
LocationName,"TSING LUNG TAU, TSUEN WAN"
LocationName,TUEN MUN
LocationName,"SAN HUI, TUEN MUN"
LocationName,"SO KWUN WAT, TUEN MUN"
LocationName,"CASTLE PEAK BAY, TUEN MUN"
LocationName,"TAI LAM CHUNG, TUEN MUN"
LocationName,"LAM TEI, TUEN MUN"
LocationName,"LUNG KWU TAN, TUEN MUN"
LocationName,"HUNG SHUI KIU, TUEN MUN"
LocationName,"TAI LAM, TUEN MUN"
LocationName,"LINGNAN, TUEN MUN"
LocationName,"PAT HEUNG, YUEN LONG"
LocationName,"SHAP PAT HEUNG, YUEN LONG"
LocationName,"HA TSUEN, YUEN LONG"
LocationName,"YUEN LONG, YUEN LONG"
LocationName,"YUEN LONG INDUSTRIAL ESTATE, YUEN LONG"
LocationName,"HUNG SHUI KIU, YUEN LONG"
LocationName,"LAU FAU SHAN, YUEN LONG"
LocationName,"WANG CHAU, YUEN LONG"
LocationName,"SAN TIN, YUEN LONG"
LocationName,"KAM TIN, YUEN LONG"
LocationName,TIN SHUI WAI
LocationName,PAT HEUNG
LocationName,PING SHAN
LocationName,"SHUI TSAN TIN, YUEN LONG"
LocationName,"AU TAU, YUEN LONG"
LocationName,"SHEK KONG, YUEN LONG"
LocationName,"YUEN LONG KAU HUI, YUEN LONG"
LocationName,"WANG TOI SHAN, YUEN LONG"
LocationName,"TAM MI, YUEN LONG"
LocationName,SAN TIN
LocationName,"LOK MA CHAU, YUEN LONG"
LocationName,"MA ON KONG, YUEN LONG"
LocationName,LOK MA CHAU
LocationName,"A KUNG TIN, YUEN LONG"
LocationName,"KWU TUNG, YUEN LONG"
LocationName,"MAI PO, YUEN LONG"
LocationName,"KAM TSIN WAI, YUEN LONG"
